Month,Year,Value
January,2001,70.63
January,2002,59.25
January,2003,39.36
January,2004,50.9
January,2005,70.17
January,2006,61.93
January,2007,60.14
January,2008,60.53
January,2009,50.02
January,2010,64.91
January,2011,60.3
January,2012,55.31
January,2013,65.02
January,2014,49.46
January,2015,50.3
January,2016,58.24
January,2017,82.39
January,2018,53.07
January,2019,68.47
January,2020,68.8
February,2001,60.19
February,2002,40.27
February,2003,69.65
February,2004,65.45
February,2005,57.29
February,2006,46.49
February,2007,45.06
February,2008,63.93
February,2009,47.93
February,2010,54.18
February,2011,60.31
February,2012,55.49
February,2013,58.56
February,2014,56.42
February,2015,49.07
February,2016,53.88
February,2017,62.9
February,2018,74.67
February,2019,84.87
February,2020,67.29
March,2001,60.88
March,2002,65.32
March,2003,62.78
March,2004,56.02
March,2005,65.63
March,2006,61.47
March,2007,60.91
March,2008,70.15
March,2009,72.05
March,2010,63.63
March,2011,58.64
March,2012,70.14
March,2013,50.14
March,2014,62.63
March,2015,57.09
March,2016,76.72
March,2017,66.41
March,2018,69.56
March,2019,67.55
March,2020,78.58
April,2001,69.77
April,2002,63.66
April,2003,67.86
April,2004,67.73
April,2005,66.15
April,2006,70.14
April,2007,65.16
April,2008,67.48
April,2009,72.81
April,2010,64.75
April,2011,65.32
April,2012,56.21
April,2013,72.31
April,2014,71.94
April,2015,73.51
April,2016,79.1
April,2017,84.35
April,2018,68.65
April,2019,85.26
April,2020,69.17
May,2001,62.73
May,2002,68.18
May,2003,82.3
May,2004,81.27
May,2005,72.93
May,2006,56.6
May,2007,66.68
May,2008,77.57
May,2009,77.89
May,2010,78.08
May,2011,85.53
May,2012,63.62
May,2013,78.46
May,2014,67.89
May,2015,97.34
May,2016,77.64
May,2017,86.25
May,2018,79.33
May,2019,110.97
May,2020,73.36
June,2001,63.45
June,2002,65.54
June,2003,84.22
June,2004,79.98
June,2005,72.94
June,2006,64.26
June,2007,67.18
June,2008,70.82
June,2009,76.39
June,2010,81.12
June,2011,62.34
June,2012,54.37
June,2013,73.04
June,2014,86.17
June,2015,77.6
June,2016,61.74
June,2017,74.33
June,2018,79.24
June,2019,80.02
June,2020,71.32
July,2001,61.13
July,2002,64.72
July,2003,68.08
July,2004,74.07
July,2005,66
July,2006,61.49
July,2007,67.98
July,2008,71.38
July,2009,71.37
July,2010,81.17
July,2011,67.95
July,2012,63.24
July,2013,75.68
July,2014,64.07
July,2015,73.98
July,2016,71.69
July,2017,66.9
July,2018,70.19
July,2019,66.36
July,2020,66.94
August,2001,68.72
August,2002,63.79
August,2003,68.34
August,2004,69.36
August,2005,70.18
August,2006,76.51
August,2007,61.45
August,2008,71.63
August,2009,67.99
August,2010,63.93
August,2011,82.13
August,2012,64.15
August,2013,65.21
August,2014,77.23
August,2015,63.88
August,2016,88.58
August,2017,93.38
August,2018,85.5
August,2019,70.71
August,2020,62.45
September,2001,58.34
September,2002,73.82
September,2003,68.91
September,2004,78.45
September,2005,58.58
September,2006,73.37
September,2007,61.26
September,2008,70.7
September,2009,67.69
September,2010,65.98
September,2011,65.25
September,2012,72.86
September,2013,78.18
September,2014,68.5
September,2015,62.18
September,2016,75.47
September,2017,69.4
September,2018,86.13
September,2019,70.16
September,2020,68.75
October,2001,58.27
October,2002,82.93
October,2003,54.91
October,2004,81.75
October,2005,63.23
October,2006,81.83
October,2007,67.65
October,2008,60.72
October,2009,103.08
October,2010,53.08
October,2011,47.57
October,2012,57.36
October,2013,72.43
October,2014,60.28
October,2015,74.26
October,2016,58.67
October,2017,76.92
October,2018,92.35
October,2019,89.87
October,2020,60.1
November,2001,68.27
November,2002,57.91
November,2003,69.37
November,2004,84.02
November,2005,60.27
November,2006,59.25
November,2007,44.07
November,2008,53.63
November,2009,48.78
November,2010,64.86
November,2011,69.69
November,2012,35.82
November,2013,55.92
November,2014,56.79
November,2015,89.59
November,2016,48.91
November,2017,47.28
November,2018,72.75
November,2019,64.65
November,2020,58.49
December,2001,62.12
December,2002,73.95
December,2003,66
December,2004,63.91
December,2005,65.22
December,2006,71.14
December,2007,77.6
December,2008,72.08
December,2009,78.32
December,2010,62.9
December,2011,67.39
December,2012,73.12
December,2013,59.91
December,2014,68.94
December,2015,96.46
December,2016,70.52
December,2017,54.13
December,2018,88.11
December,2019,71.83
December,2020,62.96
